ts,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772269759043,666262,91604,4169088,1681845,1291587,218623,696910,4,209449,578356
1772269759520,1,0,4168756,0,0,0,0,0,0,0
1772269759943,0,0,4144240,0,0,0,0,0,0,0
1772269760436,0,0,4161408,0,0,0,0,0,2,0
1772269760803,1,0,4154780,0,0,2,2,0,2,0
1772269761336,50,0,4206712,0,0,81,403,0,82,0
1772269761667,145,0,4107948,0,0,141,461,0,128,0
1772269762069,108,0,4102408,0,0,67,62,0,60,0
1772269762402,33,0,4200444,0,0,17,10,0,18,0
1772269762802,31,0,4207560,0,0,14,8,0,5,0
1772269763166,10,0,4202596,0,0,2,9,0,2,0
1772269763546,9,0,4223400,0,0,3,12,0,4,0
1772269763929,12,0,4221988,0,0,4,4,0,4,0
1772269764275,7,0,4223900,0,0,2,2,0,1,0
1772269764693,31,0,4223892,0,0,20,20,0,19,0
1772269764941,29,0,4227632,0,0,20,20,0,20,0
1772269765413,3,0,4229616,0,0,3,3,0,7,0
1772269765715,10,0,4207040,0,0,6,3,0,7,0
1772269766207,10,0,4229232,0,0,5,5,0,6,0
1772269766518,15,0,4228164,0,0,6,9,0,6,0
1772269766943,16,0,4206700,0,0,8,8,0,4,0
1772269767254,3,0,4229296,0,0,4,4,0,3,0
1772269767731,6,0,4207744,0,0,3,3,0,2,0
1772269767994,5,0,4219140,0,0,2,2,0,2,0
1772269768498,0,0,4211724,0,0,0,0,0,1,0
1772269768784,351,0,4226052,0,0,149,101,0,149,0
1772269769296,351,0,4217292,0,0,149,149,0,148,0
1772269769551,0,0,4229340,0,0,0,48,0,0,0
1772269770056,0,0,4199360,0,0,0,0,0,1,0
1772269770296,0,0,4209732,0,0,1,0,0,1,0
1772269770865,4,0,4229304,0,0,1,0,0,0,0
1772269771059,4,0,4227344,0,0,0,1,0,0,0
1772269771625,13,0,4229628,0,0,5,6,0,7,0
1772269771793,13,0,4229056,0,0,17,18,0,18,0
1772269772447,90,0,4235888,0,0,56,72,0,47,0
1772269772542,90,0,4203432,0,0,44,59,0,36,0
1772269773280,0,0,4208024,0,0,0,0,0,0,0
1772269773355,0,0,4201552,0,0,0,0,0,0,0
1772269774133,0,0,4209464,0,0,1,0,0,3,0
1772269774199,0,0,4169872,0,0,3,0,0,3,0
1772269774993,11,0,4230064,0,0,3,4,0,1,0
1772269775008,11,0,4180868,0,0,1,4,0,1,0
1772269775838,0,0,4230484,0,0,0,0,0,0,0
1772269775852,0,0,4219476,0,0,0,0,0,5,0
1772269776639,27,0,4176396,0,0,58,55,0,58,0
1772269776687,66,3,4104336,0,0,58,58,0,55,0
1772269777491,1824,91,3781564,0,0,572,868,0,553,0
1772269777455,1863,94,3796616,0,0,572,874,0,555,0
1772269778283,221,64,3491380,0,0,84,150,0,79,0
1772269778323,221,64,3452116,0,0,84,147,0,83,0
1772269779087,30287,9619,3099384,258,123,187,679,2,221,4145
1772269779096,30287,9619,3100344,258,123,187,666,2,217,4145
1772269779961,27080,9463,3441636,0,0,298,3229,0,296,3
1772269779979,27080,9463,3387168,0,0,298,3242,0,296,3
1772269780747,0,0,3420956,0,0,1,2,0,2,0
1772269780798,0,0,3437392,0,0,2,3,0,2,0
1772269781545,17,0,3412060,0,0,7,7,0,6,0
1772269781592,17,0,3402864,0,0,6,6,0,6,0
1772269782338,9,0,3436384,0,0,0,0,0,1,0
1772269782404,9,0,3398764,0,0,0,0,0,1,0
1772269783151,8,0,3414592,0,0,3,2,0,1,0
1772269783187,8,0,3361060,0,0,3,2,0,1,0
1772269783928,9,0,3409188,0,0,1,1,0,1,0
1772269784025,9,0,3389656,0,0,1,1,0,1,0
1772269784779,0,0,3421044,0,0,0,0,0,0,0
1772269784891,0,0,3363280,0,0,0,0,0,0,0
1772269785612,0,0,3406080,0,0,0,0,0,0,0
1772269785731,0,0,3385008,0,0,0,0,0,0,0
1772269786470,0,0,3395344,0,0,0,0,0,0,0
1772269786513,0,0,3354352,0,0,0,0,0,1,0
1772269787307,4,0,3381756,0,0,2,1,0,3,0
1772269787366,4,0,3386244,0,0,2,1,0,3,0
1772269788162,190,41,3325268,0,0,3,9,0,0,0
1772269788143,190,41,3358012,0,0,3,9,0,1,0
1772269788979,1204,13,3350432,0,0,40,200,0,41,0
1772269788995,1204,13,3331140,0,0,40,200,0,41,0
1772269789795,2,0,3333936,0,0,2,2,0,0,0
1772269789798,2,0,3328392,0,0,2,2,0,0,0
1772269790678,0,0,3331864,0,0,0,0,0,1,0
1772269790633,0,0,3313384,0,0,0,0,0,1,0
1772269791496,5,0,3354920,0,0,1,1,0,0,0
1772269791500,5,0,3320244,0,0,1,1,0,0,0
1772269792327,629,23,3212808,0,0,677,1395,0,448,227
1772269792426,8083,5088,3217088,0,0,777,1404,0,450,241
1772269793119,39338,19930,3137660,0,0,1673,6136,0,383,17
1772269793229,35623,15888,3091240,0,0,1707,6352,0,408,3
1772269793870,22716,4821,3021084,0,0,1988,13504,0,1408,5
1772269794079,27687,8468,3060924,0,0,1927,13324,0,1384,5
1772269794594,9297,4719,3046464,0,0,285,1981,0,102,0
1772269794849,591,49,3043516,0,0,232,1937,0,102,0
1772269795313,454,161,3135000,0,0,375,429,0,348,0
1772269795599,450,161,3132132,0,0,372,429,0,635,0
1772269796137,183,0,3043316,0,0,328,820,0,356,0
1772269796442,1642,134,3024828,0,0,399,2034,0,103,0
1772269797054,14257,7242,3006256,0,0,568,6895,0,964,0
1772269797251,13809,7112,2982324,0,0,1133,10724,0,1125,0
1772269797879,23227,8104,2938544,0,0,1168,22361,0,594,0
1772269798101,26616,10204,2931524,0,0,529,17330,0,424,0
1772269798753,8285,3972,2872764,0,0,98,200,0,29,0
1772269798943,10213,5802,2839108,0,0,89,330,0,2,0
1772269799593,12036,7753,2882664,0,0,25,323,0,19,0
1772269799777,5708,3819,2856164,0,0,20,180,0,18,0
1772269800395,7,0,2882252,0,0,3,3,0,3,0
1772269800546,7,0,2843068,0,0,3,3,0,5,0
1772269801203,55,0,2869308,0,0,27,16,0,20,0
1772269801323,55,0,2856448,0,0,29,17,0,19,0
1772269802008,457,128,2874164,0,0,177,324,0,130,1553
1772269802152,487,128,2862132,0,0,175,358,0,130,5215
1772269802798,48,0,2888556,0,0,30,216,0,9,17545
1772269802964,18,0,2892836,0,0,36,196,0,8,15914
1772269803605,6,0,2869820,0,0,67,33,0,3,10582
1772269803692,6,0,2838592,0,0,65,18,0,3,8662
1772269804511,34324,19980,3061916,0,0,165,155,0,12,5595
1772269804511,34324,19980,3056860,0,0,161,155,0,12,5484
1772269805297,3,0,3047460,0,0,8,3,0,1,0
1772269805353,3,0,3001612,0,0,8,3,0,1,0
1772269806086,0,0,3031756,0,0,0,1,0,7,0
1772269806173,0,0,2972760,0,0,7,7,0,7,0
1772269806913,21,0,3016504,0,0,23,8,0,1,0
1772269807005,21,0,2961540,0,0,16,2,0,1,0
1772269807837,18033,5666,2857892,0,0,372,3291,0,192,18694
1772269807750,10393,3995,2878936,0,0,368,3290,0,192,19336
1772269808614,94603,25796,2737384,5112,3916,3133,6649,43,2966,14812
1772269808614,86963,24125,2733636,5112,3916,3129,6649,43,2974,15454
1772269809374,26391,14380,2469632,22046,9042,342,2360,133,316,17645
1772269809389,29587,15454,2468768,22046,9042,342,2359,133,308,17645
1772269810267,137436,33450,2396072,28171,4890,505,9125,226,261,23782
1772269810273,134240,32376,2395152,28171,5682,516,9165,226,288,23782
1772269811141,63635,12642,2541944,14216,9352,475,10041,0,26,0
1772269811137,63635,12642,2541680,14216,10144,486,10081,0,53,0
1772269811927,3744,120,2574808,0,0,171,10267,0,104,0
1772269811943,4010,135,2567216,0,0,171,10267,0,105,0
1772269812659,10471,5582,2464064,0,0,247,3484,36,108,5654
1772269812664,10775,5567,2453920,0,1883,248,3486,36,107,5654
1772269813459,31048,11727,2310912,5472,0,29,596,0,5,7873
1772269813445,31250,11573,2309520,5472,1883,30,600,0,5,9604
1772269814146,27851,6352,2285372,0,0,46,1633,0,1,8357
1772269814177,28374,6632,2260264,0,0,47,1631,0,8,10413
1772269814820,14345,9883,2455936,0,0,11,61,0,7,4557
1772269814898,14190,9757,2455088,0,0,10,88,0,0,770
1772269815633,398,315,2453008,0,0,3,7,0,2,0
1772269815609,398,315,2424724,0,0,3,34,0,2,0
1772269816374,1782,1413,2466676,0,0,45,883,0,45,0
1772269816413,1782,1413,2422588,0,0,63,1076,0,45,0
1772269817188,190,57,2398400,0,0,1,60,0,0,0
1772269817122,190,57,2439784,0,0,19,253,0,0,0
1772269817945,1058,674,2453068,0,0,149,1679,0,135,0
1772269817949,1058,674,2423024,0,0,149,1679,0,135,0
1772269818761,544,328,2449324,0,0,105,397,0,116,0
1772269818748,544,328,2447780,0,0,105,397,0,116,0
1772269819573,1262,424,2449784,0,0,17,272,0,1,0
1772269819572,1262,424,2448872,0,0,17,272,0,1,0
1772269820389,467,412,2444424,0,0,30,286,0,31,0
1772269820418,467,412,2409880,0,0,37,295,0,31,0
1772269821153,138,0,2452416,0,0,8,29,0,44,0
1772269821242,138,0,2414740,0,0,46,219,0,44,0
1772269821925,181,0,2420492,0,0,56,210,0,11,0
1772269822027,181,0,2417764,0,0,14,317,0,56,0
1772269822700,4418,620,2430636,0,0,347,3000,0,920,3470
1772269822821,8543,1482,2361824,0,0,2519,5867,0,2828,6978
1772269823496,69459,25747,2366032,0,294,3446,9852,3,2746,21203
1772269823694,90688,27243,2371532,309,294,1308,6981,3,847,23466
1772269824488,119191,27921,2239880,1797,1271,237,3380,20,272,14492
1772269824621,98515,26856,2256516,1488,1271,285,3249,20,218,10310
1772269825356,33893,10798,2207376,0,0,267,1467,0,169,15780
1772269825525,62729,31414,2188932,0,0,196,2379,0,198,18716
1772269826185,73029,30085,2179360,0,0,97,1882,0,76,7760
1772269826350,52822,12160,2116536,0,0,103,931,0,70,4796
1772269827078,57310,22928,2032008,0,0,217,1093,0,206,17610
1772269827254,79320,45175,2195900,0,0,198,1014,0,185,16049
1772269828036,52154,37855,2170960,0,0,20,414,0,27,0
1772269828167,16846,11624,2196356,0,0,26,362,0,26,0
1772269828985,677,7,2174968,0,0,153,148,0,146,0
1772269829083,668,7,2160920,0,0,146,147,0,146,0
1772269829905,14,0,2196580,0,0,2,2,0,2,0
1772269829990,14,0,2159744,0,0,2,2,0,1,0
1772269830793,31,0,2166884,0,0,22,21,0,24,0
1772269830930,78,0,2157852,0,0,24,22,0,24,0
1772269831721,1518,464,2173884,0,0,109,2430,0,72,0
1772269831833,1782,497,2131920,0,0,108,2429,0,72,0
1772269832637,1577,723,2189296,0,0,84,302,0,107,5979
1772269832772,1266,690,2183076,0,0,110,335,0,108,9310
1772269833505,25824,367,2208460,0,0,5396,14442,0,7350,12837
1772269833619,32759,410,2168460,0,0,8201,18359,0,9119,9506
1772269834352,21719,946,2216296,0,0,5058,18469,0,2946,21
1772269834499,14789,903,2147880,0,0,2227,14520,0,1176,21
1772269835257,1302,137,2219256,0,0,21,21,0,21,0
1772269835465,1309,138,2196588,0,0,21,21,0,27,0
1772269836212,738,198,2219704,0,0,87,2104,0,77,0
1772269836392,749,197,2180900,0,0,86,2103,0,71,0
1772269837187,549,0,2221756,0,0,61,61,0,62,1360
1772269837322,526,0,2158792,0,0,63,85,0,102,1360
1772269838134,8717,1828,2230380,0,0,142,3064,0,121,1790
1772269838252,8717,1828,2159652,0,0,142,3060,0,82,1790
1772269839039,8985,4739,2208192,0,0,13,74,0,11,0
1772269839221,9076,4747,2232008,0,0,11,54,0,62,0
1772269839952,1274,16,2212152,0,0,82,606,0,78,0
1772269840089,1188,8,2196320,0,0,82,606,0,26,0
1772269840882,262,149,2232904,0,0,3,13,0,7,0
1772269840996,257,149,2180868,0,0,8,13,0,7,0
1772269841823,20,0,2228848,0,0,69,111,0,3,0
1772269841900,20,0,2225844,0,0,75,111,0,3,0
1772269842677,33,0,2232096,0,0,164,60,0,66,0
1772269842722,87,0,2222272,0,0,173,60,0,71,0
1772269843529,640,103,2223904,0,0,118,210,0,74,0
1772269843593,622,103,2165772,0,0,98,210,0,69,0
