ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772368673340,idle,747087,203752,4683236,1709206,1335905,178809,494521,4,172068,587926
1772368674235,idle,1009,700,4695736,0,0,22,106,0,23,0
1772368675134,idle,320,239,4719584,0,0,46,564,0,69,0
1772368675973,cold_start,6369,428,4528156,0,0,4237,33302,0,4263,0
1772368676769,cold_start,2280,380,4484320,0,0,1139,23612,0,724,0
1772368677530,cold_start,81,0,4472600,0,0,23,20,0,22,0
1772368678295,cold_start,1087,9,4481280,0,0,819,3316,0,834,0
1772368678996,cold_start,1628,44,4442408,0,0,1701,5150,0,1553,0
1772368679695,cold_start,351,0,4411308,0,0,21,21,0,31,0
1772368680438,cold_start,50,0,4408936,0,0,43,316,0,64,0
1772368681157,cold_start,174,0,4404292,0,0,97,72,0,63,0
1772368681906,cold_start,93,0,4401004,0,0,47,167,0,44,0
1772368682643,cold_start,169,1,4378028,0,0,354,354,0,352,0
1772368683414,cold_start,201,43,4387860,0,0,217,899,0,167,0
1772368684173,cold_start,28,0,4385788,0,0,12,20,0,12,0
1772368684937,cold_start,0,0,4382900,0,0,0,0,0,37,0
1772368685697,cold_start,166,0,4378744,0,0,100,225,0,64,0
1772368686452,cold_start,172,0,4426552,0,0,46,79,0,41,0
1772368687272,cold_start,665,268,4425056,0,0,5,4,0,5,0
1772368688096,cold_start,780,2,4394072,0,0,631,1087,0,3165,0
1772368688871,cold_start,28522,1335,4067856,0,0,5530,19764,0,2806,0
1772368689735,cold_start,3229,22,3777400,0,0,1418,1884,0,1410,0
1772368690609,cold_start,2907,430,3556940,0,0,589,1752,0,464,0
1772368691387,cold_start,4273,1582,3573540,0,0,1996,4336,0,2137,0
1772368692145,cold_start,11010,889,3522688,0,0,756,1871,0,475,0
1772368692905,cold_start,91,16,3498728,0,0,57,65,0,62,0
1772368693688,cold_start,1361,986,3419112,0,0,99,2847,0,83,0
1772368694520,cold_start,323,232,3382044,0,0,26,15,0,26,0
1772368695350,cold_start,420,0,3382712,0,0,44,56,0,72,0
1772368696182,cold_start,324,163,3391116,0,0,93,217,0,87,0
1772368697049,cold_start,201,5,3396360,0,0,126,127,0,100,0
1772368697825,cold_start,559,38,3392632,0,0,269,596,0,266,0
1772368698641,cold_start,11,0,3378492,0,0,7,7,0,7,0
1772368699474,cold_start,30,0,3396268,0,0,11,6,0,15,0
1772368700314,cold_start,41,3,3406572,0,0,67,54,0,598,0
1772368701152,cold_start,3481,347,3199356,0,0,3993,4057,0,3271,0
1772368702050,cold_start,15205,6437,2962460,0,0,2480,11037,0,2217,0
1772368702874,cold_start,243,21,2938464,0,0,3,16,0,4,0
1772368703680,cold_start,50,16,2799200,0,0,23,24,0,23,0
1772368704413,cold_start,10698,5676,2912536,0,0,6,3,0,3,0
1772368705176,cold_start,57,0,2914016,0,0,53,53,0,53,0
1772368705941,cold_start,5,0,2905180,0,0,28,24,0,24,0
1772368706701,cold_start,23,0,2905884,0,0,12,119,0,11,0
1772368707583,cold_start,21281,9801,2888724,0,572,1153,3540,7,1480,2519
1772368708429,cold_start,52151,19350,2779472,931,0,995,3579,0,783,3175
1772368709273,cold_start,29707,6804,3064664,0,0,503,2875,0,402,0
1772368710080,cold_start,1458,688,3134048,0,0,388,2165,0,359,8944
1772368710795,cold_start,102,1,3151116,0,0,52,961,0,44,10998
1772368711688,cold_start,37,13,3163076,0,0,35,41,0,36,0
1772368712532,cold_start,565,475,3114192,0,0,19,190,0,66,0
1772368713303,cold_start,505,60,3041724,0,0,358,701,0,267,0
1772368714238,cold_start,1247,51,2939388,0,0,191,1631,0,123,0
1772368715031,cold_start,7189,2696,2880432,0,0,33,621,0,51,1
1772368715916,cold_start,22724,5668,2795696,0,0,126,298,0,82,0
1772368716718,cold_start,9032,1782,2761364,0,0,17,197,0,15,0
