ts,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout,source_file,future_1s_some,future_1s_full,some_sum_2,pgscan_sum_2,pgmaj_sum_2,some_sum_6,pgscan_sum_6,pgmaj_sum_6,some_sum_10,pgscan_sum_10,pgmaj_sum_10,diff_some,diff_pgscan,mem_drop,some_std_6,pgscan_std_6
1772269762802,31,0,4207560,0,0,14,8,0,5,0,psi_data_20260228_173302.csv,19.0,0.0,64.0,0.0,31.0,368.0,0.0,322.0,666631.0,1681845.0,218945.0,-2.0,0.0,7116.0,54.165179489291674,0.0
1772269763166,10,0,4202596,0,0,2,9,0,2,0,psi_data_20260228_173302.csv,21.0,0.0,41.0,0.0,16.0,377.0,0.0,322.0,379.0,0.0,324.0,-21.0,0.0,-4964.0,52.25099682405262,0.0
1772269763546,9,0,4223400,0,0,3,12,0,4,0,psi_data_20260228_173302.csv,19.0,0.0,19.0,0.0,5.0,336.0,0.0,244.0,387.0,0.0,327.0,-1.0,0.0,20804.0,56.752092493939024,0.0
1772269763929,12,0,4221988,0,0,4,4,0,4,0,psi_data_20260228_173302.csv,38.0,0.0,21.0,0.0,7.0,203.0,0.0,107.0,399.0,0.0,331.0,3.0,0.0,-1412.0,37.870393041367606,0.0
1772269764275,7,0,4223900,0,0,2,2,0,1,0,psi_data_20260228_173302.csv,60.0,0.0,19.0,0.0,6.0,102.0,0.0,42.0,406.0,0.0,333.0,-5.0,0.0,1912.0,11.747340228378981,0.0
1772269764693,31,0,4223892,0,0,20,20,0,19,0,psi_data_20260228_173302.csv,32.0,0.0,38.0,0.0,22.0,100.0,0.0,45.0,436.0,0.0,351.0,24.0,0.0,-8.0,11.219031558381658,0.0
1772269764941,29,0,4227632,0,0,20,20,0,20,0,psi_data_20260228_173302.csv,13.0,0.0,60.0,0.0,40.0,98.0,0.0,51.0,415.0,0.0,290.0,-2.0,0.0,3740.0,10.72691330756287,0.0
1772269765413,3,0,4229616,0,0,3,3,0,7,0,psi_data_20260228_173302.csv,20.0,0.0,32.0,0.0,23.0,91.0,0.0,52.0,273.0,0.0,152.0,-26.0,0.0,1984.0,11.872938520349113,0.0
1772269765715,10,0,4207040,0,0,6,3,0,7,0,psi_data_20260228_173302.csv,25.0,0.0,13.0,0.0,9.0,92.0,0.0,55.0,175.0,0.0,91.0,7.0,0.0,-22576.0,11.7756812587632,0.0
1772269766207,10,0,4229232,0,0,5,5,0,6,0,psi_data_20260228_173302.csv,31.0,0.0,20.0,0.0,11.0,90.0,0.0,56.0,152.0,0.0,79.0,0.0,0.0,22192.0,11.91637539024875,0.0
1772269766518,15,0,4228164,0,0,6,9,0,6,0,psi_data_20260228_173302.csv,19.0,0.0,25.0,0.0,11.0,98.0,0.0,60.0,136.0,0.0,71.0,5.0,0.0,-1068.0,11.272385244834803,0.0
1772269766943,16,0,4206700,0,0,8,8,0,4,0,psi_data_20260228_173302.csv,9.0,0.0,31.0,0.0,14.0,83.0,0.0,48.0,142.0,0.0,77.0,1.0,0.0,-21464.0,8.750238231500504,0.0
1772269767254,3,0,4229296,0,0,4,4,0,3,0,psi_data_20260228_173302.csv,11.0,0.0,19.0,0.0,12.0,57.0,0.0,32.0,136.0,0.0,78.0,-13.0,0.0,22596.0,5.612486297660074,0.0
1772269767731,6,0,4207744,0,0,3,3,0,2,0,psi_data_20260228_173302.csv,5.0,0.0,9.0,0.0,7.0,60.0,0.0,32.0,130.0,0.0,77.0,3.0,0.0,-21552.0,5.0199604023750375,0.0
1772269767994,5,0,4219140,0,0,2,2,0,2,0,psi_data_20260228_173302.csv,351.0,0.0,11.0,0.0,5.0,55.0,0.0,28.0,128.0,0.0,77.0,-1.0,0.0,11396.0,5.419102241893446,0.0
1772269768498,0,0,4211724,0,0,0,0,0,1,0,psi_data_20260228_173302.csv,702.0,0.0,5.0,0.0,2.0,45.0,0.0,23.0,97.0,0.0,57.0,-5.0,0.0,-7416.0,6.534523887893977,0.0
1772269768784,351,0,4226052,0,0,149,101,0,149,0,psi_data_20260228_173302.csv,351.0,0.0,351.0,0.0,149.0,381.0,0.0,166.0,419.0,0.0,186.0,351.0,0.0,14328.0,140.94928166698998,0.0
1772269769296,351,0,4217292,0,0,149,149,0,148,0,psi_data_20260228_173302.csv,0.0,0.0,702.0,0.0,298.0,716.0,0.0,307.0,767.0,0.0,332.0,0.0,0.0,-8760.0,179.4599305391211,0.0
1772269769551,0,0,4229340,0,0,0,48,0,0,0,psi_data_20260228_173302.csv,0.0,0.0,351.0,0.0,149.0,713.0,0.0,303.0,757.0,0.0,326.0,-351.0,0.0,12048.0,179.85262486020653,0.0
1772269770056,0,0,4199360,0,0,0,0,0,1,0,psi_data_20260228_173302.csv,4.0,0.0,0.0,0.0,0.0,707.0,0.0,300.0,747.0,0.0,321.0,0.0,0.0,-29980.0,180.62050456442145,0.0
1772269770296,0,0,4209732,0,0,1,0,0,1,0,psi_data_20260228_173302.csv,8.0,0.0,0.0,0.0,1.0,702.0,0.0,299.0,732.0,0.0,316.0,0.0,0.0,10372.0,181.25562060923667,0.0
