some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout,source_file,future_1s_some,future_1s_full,some_sum_2,pgscan_sum_2,pgmaj_sum_2,some_max_2,some_min_2,some_sum_6,pgscan_sum_6,pgmaj_sum_6,some_max_6,some_min_6,some_sum_10,pgscan_sum_10,pgmaj_sum_10,some_max_10,some_min_10,diff_some,diff_pgscan,mem_drop,some_std_6,pgscan_std_6,some_lag_1,pgscan_lag_1,some_lag_2,pgscan_lag_2,some_lag_3,pgscan_lag_3,some_lag_4,pgscan_lag_4,some_ewm_6,pgscan_ewm_6,pgscan_per_mem,alloc_per_mem,swap_ratio
156,18,3487708,0,0,27,190,0,1,0,psi_douyin_20260228_211328.csv,112.0,0.0,235.0,0.0,127.0,156.0,79.0,27283.0,0.0,853.0,26485.0,13.0,53404.0,0.0,1636.0,26485.0,13.0,77.0,0.0,-32976.0,10748.775193791462,0.0,79.0,0.0,47.0,0.0,13.0,0.0,503.0,0.0,2423.095103985036,0.0,0.0,0.0,2.867211685378568e-07
34,0,3492696,0,0,13,7,0,13,0,psi_douyin_20260228_211328.csv,143.0,0.0,190.0,0.0,40.0,156.0,34.0,832.0,0.0,213.0,503.0,13.0,52871.0,0.0,1407.0,26485.0,13.0,-122.0,0.0,4988.0,185.33717022403331,0.0,156.0,0.0,79.0,0.0,47.0,0.0,13.0,0.0,1723.2136230403046,0.0,0.0,0.0,3.7220520417316475e-06
78,0,3513704,0,0,21,214,0,31,0,psi_douyin_20260228_211328.csv,65.0,0.0,112.0,0.0,34.0,78.0,34.0,407.0,0.0,215.0,156.0,13.0,51176.0,0.0,1085.0,26485.0,13.0,44.0,0.0,21008.0,50.173366108445435,0.0,34.0,0.0,156.0,0.0,79.0,0.0,47.0,0.0,1244.7125086186172,0.0,0.0,0.0,8.822596091589932e-06
65,0,3524528,0,0,28,56,0,8,0,psi_douyin_20260228_211328.csv,3263.0,1252.0,143.0,0.0,49.0,78.0,65.0,459.0,0.0,208.0,156.0,34.0,40308.0,0.0,992.0,26485.0,13.0,-13.0,0.0,10824.0,42.74926899942803,0.0,78.0,0.0,34.0,0.0,156.0,0.0,79.0,0.0,903.3509833588362,0.0,0.0,0.0,2.2698068309269127e-06
0,0,3489000,0,0,0,0,0,1,555,psi_douyin_20260228_211328.csv,26512.0,12576.0,65.0,0.0,28.0,65.0,0.0,412.0,0.0,189.0,156.0,0.0,27460.0,0.0,915.0,26485.0,0.0,-65.0,0.0,-35528.0,52.44298491363838,0.0,65.0,0.0,78.0,0.0,34.0,0.0,156.0,0.0,642.9068945442676,0.0,0.0,0.0,0.0001593579365554782
3263,1252,3413364,0,0,11,310,0,0,695,psi_douyin_20260228_211328.csv,52217.0,20398.0,3263.0,0.0,11.0,3263.0,0.0,3596.0,0.0,100.0,3263.0,0.0,4238.0,0.0,273.0,3263.0,0.0,3263.0,0.0,-75636.0,1305.9684018637868,0.0,0.0,0.0,65.0,0.0,78.0,0.0,34.0,0.0,1396.3480847550138,0.0,0.0,0.0,0.00020361139227712243
23249,11324,3298720,0,0,362,12761,0,192,2538,psi_douyin_20260228_211328.csv,63829.0,18880.0,26512.0,0.0,373.0,23249.0,3263.0,26689.0,0.0,435.0,23249.0,0.0,26984.0,0.0,616.0,23249.0,0.0,19986.0,0.0,-114644.0,9300.080804308458,0.0,3263.0,0.0,0.0,0.0,65.0,0.0,78.0,0.0,7668.76249894637,0.0,0.0,0.0,0.0008275934824436501
28968,9074,3051204,0,0,644,2953,0,322,1056,psi_douyin_20260228_211328.csv,72514.0,15791.0,52217.0,0.0,1006.0,28968.0,23249.0,55623.0,0.0,1066.0,28968.0,0.0,55939.0,0.0,1225.0,28968.0,0.0,5719.0,0.0,-247516.0,13226.2275914185,0.0,23249.0,0.0,3263.0,0.0,0.0,0.0,65.0,0.0,13774.282707887125,0.0,0.0,0.0,0.0004516248498544018
34861,9806,2859156,746,1183,1305,7548,17,1761,3363,psi_douyin_20260228_211328.csv,47202.0,9047.0,63829.0,746.0,1949.0,34861.0,28968.0,90406.0,746.0,2350.0,34861.0,0.0,90753.0,746.0,2511.0,34861.0,0.0,5893.0,746.0,-192048.0,15769.554637549745,304.5532246860418,28968.0,0.0,23249.0,0.0,3263.0,0.0,0.0,0.0,19813.20576762836,213.64333481399655,0.00026091606721841435,5.945808502296306e-06,0.001792136633280369
37653,5985,2722768,1317,323,2151,8847,0,1425,1059,psi_douyin_20260228_211328.csv,9700.0,3068.0,72514.0,2063.0,3456.0,37653.0,34861.0,127994.0,2063.0,4473.0,37653.0,0.0,128327.0,2063.0,4562.0,37653.0,0.0,2792.0,571.0,-136388.0,16080.642097461989,562.4369890633676,34861.0,746.0,28968.0,0.0,23249.0,0.0,3263.0,0.0,24918.832952341854,529.4164715907868,0.00048369876401560324,0.0,0.000912306552630796
