iter	PRAUC	Logloss
0	0.5376763339	0.6407187754
1	0.5948662817	0.590217836
2	0.603044204	0.5487241412
3	0.6109542582	0.5131339719
4	0.6184450876	0.4833954037
5	0.6224480241	0.4561365544
6	0.6275591959	0.4307465522
7	0.6282680637	0.4099121074
8	0.6384791176	0.3924150064
9	0.6392637668	0.3782411005
10	0.6406556397	0.3657706972
11	0.6400255511	0.3544176224
12	0.6404578758	0.3447934467
13	0.6398056733	0.3362071998
14	0.639281244	0.3288357047
15	0.6411703782	0.3222020672
16	0.644459194	0.3162785077
17	0.6455728286	0.3111438719
18	0.646497887	0.3060815452
19	0.6466162608	0.3012624967
20	0.6481192687	0.2974411072
21	0.6501708527	0.2940996768
22	0.6521037747	0.2912357715
23	0.6530107153	0.2891895853
24	0.6572892886	0.2854294288
25	0.6586997872	0.2832301895
26	0.6618299839	0.2807482261
27	0.6632539627	0.2789658036
28	0.6636933945	0.2774436782
29	0.6647004205	0.2760611527
30	0.6673984207	0.2744526061
31	0.6686318206	0.2727431914
32	0.6698788377	0.2713065908
33	0.6699405945	0.2704639634
34	0.6706080846	0.2693239015
35	0.6708274695	0.268284171
36	0.6725745103	0.2668777334
37	0.6743152582	0.2656299859
38	0.675470225	0.2647508434
39	0.6756867501	0.2638027961
40	0.6764204045	0.2631802108
41	0.6794786027	0.2621586845
42	0.6811317501	0.2612637698
43	0.6824746294	0.2605458804
44	0.684438454	0.2599626964
45	0.6849343458	0.25954216
46	0.6870897943	0.2586675768
47	0.6876169145	0.257945323
48	0.6889438093	0.2574296897
49	0.6907691563	0.2568586898
50	0.6924851714	0.256302035
51	0.6942785235	0.2554087762
52	0.6955833925	0.2542915267
53	0.6965770975	0.2537159301
54	0.6981990989	0.253112458
55	0.7000348126	0.2523137006
56	0.7017474372	0.2514301809
57	0.7022981426	0.2509516398
58	0.703631717	0.2505323869
59	0.7042869038	0.2499793177
60	0.7056704154	0.24918245
61	0.7071661528	0.2485283428
62	0.7085966933	0.2475988681
63	0.7105048452	0.2468812791
64	0.7116906953	0.2463182367
65	0.7126021129	0.2457935702
66	0.7141078222	0.2451946152
67	0.7148717795	0.2446937329
68	0.7158996464	0.2442735399
69	0.7177305304	0.2437161423
70	0.7195864085	0.24303571
71	0.7203999653	0.2424349302
72	0.7216968757	0.2418374649
