iter	Passed	Remaining
0	3	3842
1	8	4293
2	13	4408
3	17	4373
4	22	4435
5	26	4431
6	31	4460
7	36	4474
8	41	4537
9	45	4541
10	51	4590
11	57	4717
12	63	4817
13	68	4791
14	73	4830
15	79	4889
16	84	4861
17	88	4835
18	92	4787
19	97	4761
20	101	4743
21	106	4729
22	110	4695
23	114	4662
24	119	4645
25	123	4617
26	127	4609
27	132	4600
28	136	4581
29	141	4560
30	145	4556
31	150	4541
32	154	4530
33	158	4508
34	162	4493
35	167	4481
36	171	4468
37	176	4461
38	180	4454
39	185	4451
40	189	4434
41	194	4427
42	198	4418
43	203	4410
44	206	4388
45	210	4374
46	214	4356
47	218	4341
48	222	4324
49	227	4315
50	231	4301
51	235	4291
52	239	4275
53	243	4268
54	247	4256
55	251	4247
56	255	4233
57	260	4235
58	265	4229
59	269	4221
60	273	4214
61	278	4208
62	282	4207
63	287	4208
64	292	4200
65	295	4188
66	300	4185
67	304	4172
68	308	4163
69	312	4150
70	316	4142
71	320	4130
72	324	4120
73	328	4108
74	333	4107
75	337	4097
76	341	4088
77	344	4075
78	348	4068
79	352	4057
80	356	4048
81	361	4041
82	365	4039
83	369	4029
84	373	4020
85	377	4010
86	381	4006
87	386	4004
88	390	3997
89	394	3987
90	398	3981
91	402	3975
92	406	3968
93	410	3959
94	414	3952
95	418	3944
96	422	3937
97	426	3928
98	431	3924
99	435	3916
100	439	3908
101	442	3899
102	447	3894
103	451	3887
104	455	3882
105	459	3875
106	464	3879
107	469	3876
108	473	3870
109	477	3866
110	482	3866
111	487	3865
112	491	3861
113	496	3856
114	500	3849
115	504	3844
116	508	3837
117	512	3833
118	517	3830
119	521	3825
120	526	3825
121	531	3822
122	535	3821
123	540	3817
124	545	3815
125	549	3809
126	553	3806
127	558	3802
128	562	3800
129	567	3795
130	571	3791
131	575	3787
132	580	3782
133	585	3786
134	591	3787
135	595	3783
136	600	3780
137	604	3775
138	608	3770
139	612	3763
140	617	3759
141	621	3756
142	625	3750
143	629	3743
144	633	3738
145	637	3731
146	642	3725
147	645	3718
148	650	3716
149	654	3710
150	659	3708
151	664	3704
152	668	3698
153	672	3692
154	676	3685
155	680	3681
156	684	3677
157	689	3674
158	693	3668
159	697	3663
160	702	3660
161	706	3656
162	711	3651
163	715	3646
164	719	3643
165	724	3640
166	729	3637
167	733	3632
168	737	3627
169	741	3621
170	745	3616
171	750	3610
172	754	3605
173	758	3599
174	762	3594
175	766	3588
176	770	3583
177	774	3577
178	779	3573
179	783	3570
180	788	3566
181	792	3563
182	797	3559
183	801	3553
184	805	3548
185	809	3542
186	813	3537
187	817	3531
188	821	3525
189	826	3524
190	831	3522
191	835	3516
192	839	3510
193	843	3506
194	847	3500
195	852	3496
196	856	3490
197	860	3486
198	864	3480
199	869	3476
200	873	3470
201	877	3465
202	881	3459
203	885	3455
204	889	3449
205	894	3446
206	898	3442
207	902	3437
208	906	3431
209	910	3426
210	915	3421
211	919	3417
212	923	3411
213	927	3406
214	931	3401
215	935	3396
216	939	3391
217	943	3386
218	947	3379
219	951	3375
220	955	3369
221	960	3364
222	964	3359
223	968	3354
224	972	3348
225	976	3343
226	980	3337
227	984	3333
228	988	3327
229	992	3322
230	996	3316
231	1001	3315
232	1006	3311
233	1010	3306
234	1014	3301
235	1018	3297
236	1022	3292
237	1026	3287
238	1030	3282
239	1034	3277
240	1039	3273
241	1043	3267
242	1047	3263
243	1051	3258
244	1055	3254
245	1059	3248
246	1063	3243
247	1067	3238
248	1072	3233
249	1076	3228
250	1080	3223
